Table 1
OBJECTID,GEOID10,GEOID20,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,CSA,CSA_Name,CBSA,CBSA_Name,CBSA_POP,CBSA_EMP,CBSA_WRK,Ac_Total,Ac_Water,Ac_Land,Ac_Unpr,TotPop,CountHU,HH,P_WrkAge,AutoOwn0,Pct_AO0,AutoOwn1,Pct_AO1,AutoOwn2p,Pct_AO2p,Workers,R_LowWageWk,R_MedWageWk,R_HiWageWk,R_PCTLOWWAGE,TotEmp,E5_Ret,E5_Off,E5_Ind,E5_Svc,E5_Ent,E8_Ret,E8_off,E8_Ind,E8_Svc,E8_Ent,E8_Ed,E8_Hlth,E8_Pub,E_LowWageWk,E_MedWageWk,E_HiWageWk,E_PctLowWage,D1A,D1B,D1C,D1C5_RET,D1C5_OFF,D1C5_IND,D1C5_SVC,D1C5_ENT,D1C8_RET,D1C8_OFF,D1C8_IND,D1C8_SVC,D1C8_ENT,D1C8_ED,D1C8_HLTH,D1C8_PUB,D1D,D1_FLAG,D2A_JPHH,D2B_E5MIX,D2B_E5MIXA,D2B_E8MIX,D2B_E8MIXA,D2A_EPHHM,D2C_TRPMX1,D2C_TRPMX2,D2C_TRIPEQ,D2R_JOBPOP,D2R_WRKEMP,D2A_WRKEMP,D2C_WREMLX,D3A,D3AAO,D3AMM,D3APO,D3B,D3BAO,D3BMM3,D3BMM4,D3BPO3,D3BPO4,D4A,D4B025,D4B050,D4C,D4D,D4E,D5AR,D5AE,D5BR,D5BE,D5CR,D5CRI,D5CE,D5CEI,D5DR,D5DRI,D5DE,D5DEI,D2A_Ranked,D2B_Ranked,D3B_Ranked,D4A_Ranked,NatWalkInd,Shape_Length,Shape_Area
100103,2.1234E+11,2.1234E+11,21,233,960100,2,,,,,0,0,0,13330.06475,101.8311455,13228.23361,13228.23361,1086,491,395,0.687,3,0.007594937,66,0.167088608,326,0.825316456,457,95,165,197,0.207877462,286,14,0,245,17,10,14,0,245,1,10,0,16,0,36,65,185,0.125874126,0.037117579,0.082097129,0.021620423,0.001058342,0,0.018520991,0.00128513,0.000755959,0.001058342,0,0.018520991,7.55959E-05,0.000755959,0,0.001209534,0,0.058738001,0,0.724050633,0.407758373,0.351223945,0.359486412,0.278233866,0.570187036,0.554485963,0.482338653,0.228599555,0,0,1.597902098,0.549964198,2.624951751,0.461902216,1.718032312,0.445017222,3.033124542,1.257915493,2.612593716,0.338669556,1.064390032,0.241906826,-99999,0,0,-99999,-99999,-99999,5920,5302,-99999,-99999,0,0,0,0,-99999,-99999,-99999,-99999,12,3,3,1,3.833333333,42262.68371,53946030.8
100104,2.1234E+11,2.1234E+11,21,233,960100,3,,,,,0,0,0,5859.02986,54.2421565,5804.787703,5804.7877,834,300,289,0.561,3,0.010380623,93,0.321799308,193,0.667820069,375,75,136,164,0.2,239,31,3,58,147,0,31,1,58,1,0,0,146,2,59,116,64,0.246861925,0.051681477,0.143674505,0.04117291,0.005340419,0.000516815,0.009991752,0.025323924,0,0.005340419,0.000172272,0.009991752,0.000172272,0,0,0.025151652,0.000344543,0.092854386,0,0.826989619,0.694262472,0.598005144,0.555594762,0.478730541,0.698574398,0.541636136,0.566028967,0.665414407,0,0,1.569037657,0.56606993,2.316727623,0.60644078,1.27943079,0.430856053,3.455905888,1.433299618,2.205076336,0.661522901,1.653807252,0.220507634,-99999,0,0,-99999,-99999,-99999,7001,6460,-99999,-99999,0,0,0,0,-99999,-99999,-99999,-99999,16,8,3,1,5.333333333,27341.00036,23711168.9
100105,2.1234E+11,2.1234E+11,21,233,960200,1,,,,,0,0,0,32068.28391,214.5863349,31853.69757,31853.69757,1385,544,514,0.556,17,0.03307393,115,0.223735409,382,0.743190661,526,107,212,207,0.203422053,514,27,23,74,390,0,27,15,74,37,0,336,17,8,148,146,220,0.287937743,0.01707808,0.043480039,0.016136274,0.000847625,0.000722051,0.002323121,0.012243477,0,0.000847625,0.000470903,0.002323121,0.001161561,0,0.010548226,0.00053369,0.000251148,0.033214354,0,1,0.564308132,0.486068568,0.607319983,0.568320915,0.673710842,0.452483796,0.478680801,0.570216366,0,0,1.023346304,0.976924113,2.050776828,0.273604247,1.641866092,0.135306489,1.413723474,0.823766219,1.768083591,0.221010449,0.020091859,0,-99999,0,0,-99999,-99999,-99999,2652,2884,-99999,-99999,0,0,0,0,-99999,-99999,-99999,-99999,15,10,2,1,5.166666667,56782.50511,129778577.7
100106,2.1234E+11,2.1234E+11,21,233,960100,4,,,,,0,0,0,40965.34081,346.0571254,40619.28368,40619.28368,1324,605,502,0.514,11,0.021912351,85,0.169322709,406,0.80876494,497,101,177,219,0.203219316,196,13,0,163,2,18,13,0,163,2,18,0,0,0,42,19,135,0.214285714,0.014894403,0.032595356,0.004825294,0.000320045,0,0.004012872,4.92377E-05,0.000443139,0.000320045,0,0.004012872,4.92377E-05,0.000443139,0,0,0,0.019719698,0,0.390438247,0.432336923,0.372394756,0.432336923,0.288224616,0.473461727,0.415699026,0.36237022,0.059992489,0,0,2.535714286,0.215301849,1.746037749,0.288721169,1.360965957,0.096350623,1.040325584,0.598730401,1.197460802,0.141804569,0.078780316,0.04726819,-99999,0,0,-99999,-99999,-99999,3800,4097,-99999,-99999,0,0,0,0,-99999,-99999,-99999,-99999,9,3,1,1,2.666666667,65234.15221,165784463.7
100107,2.1234E+11,2.1234E+11,21,233,960100,1,,,,,0,0,0,18210.75455,418.7858213,17791.96873,17791.96873,933,409,333,0.576,3,0.009009009,211,0.633633634,119,0.357357357,377,71,134,172,0.188328912,94,12,12,57,13,0,12,12,57,13,0,0,0,0,24,37,33,0.255319149,0.0229879,0.052439391,0.005283283,0.000674462,0.000674462,0.003203693,0.000730667,0,0.000674462,0.000674462,0.003203693,0.000730667,0,0,0,0,0.028271183,0,0.282282282,0.795275558,0.68501308,0.795275558,0.530183705,0.478295922,0.379687551,0.358161546,0.030700506,0,0,4.010638298,0.049260226,3.061615741,1.295767464,1.422775728,0.343072549,2.015147427,1.258995019,1.870506885,0.28777029,0.395684149,0.215827717,-99999,0,0,-99999,-99999,-99999,6788,6381,-99999,-99999,0,0,0,0,-99999,-99999,-99999,-99999,9,9,2,1,4,49174.17668,73697927.67
100108,2.1234E+11,2.1234E+11,21,233,960300,1,,,,,0,0,0,21239.73575,310.7391224,20928.99663,20928.99663,1144,461,400,0.543,28,0.07,116,0.29,256,0.64,408,96,154,158,0.235294118,310,20,0,285,1,4,20,0,285,0,4,0,1,0,29,67,214,0.093548387,0.022026856,0.054661005,0.014811986,0.000955612,0,0.013617471,4.77806E-05,0.000191122,0.000955612,0,0.013617471,0,0.000191122,0,4.77806E-05,0,0.036838842,0,0.775,0.237156198,0.20427523,0.237156198,0.158104132,0.514861817,0.423175218,0.297201255,0.072268267,0,0,1.316129032,0.728965384,2.246784757,0.495037386,1.462196057,0.289551314,2.171945497,0.825648754,1.92651376,0.336375418,0.458693752,0.244636668,-99999,0,0,-99999,-99999,-99999,2773,3327,-99999,-99999,0,0,0,0,-99999,-99999,-99999,-99999,11,2,3,1,3.5,43499.66959,85956038.63
100109,2.1158E+11,2.1158E+11,21,157,950600,5,,,,,0,0,0,18281.72809,1083.955053,17197.77304,16164.25788,1371,830,735,0.538,95,0.129251701,185,0.25170068,455,0.619047619,560,120,217,223,0.214285714,100,20,13,54,7,6,20,13,54,5,6,0,2,0,42,46,12,0.42,0.051347857,0.084816761,0.006186489,0.001237298,0.000804244,0.003340704,0.000433054,0.000371189,0.001237298,0.000804244,0.003340704,0.000309324,0.000371189,0,0.00012373,0,0.057534346,0,0.136054422,0.792083771,0.792083771,0.734857856,0.633193334,0.289726001,0.290293017,0.286704928,0.001342805,0,0,5.6,0.010051836,2.080947276,0.488654521,1.521862923,0.070429831,1.72506056,1.22806598,2.418917839,0.111642362,0,0,-99999,0,0,-99999,-99999,-99999,4082,4508,-99999,-99999,0,0,0,0,-99999,-99999,-99999,-99999,5,13,2,1,4,44201.21482,73985144.54
100110,2.1108E+11,2.1108E+11,21,107,971300,1,,,31580,"Madisonville, KY",45664,17174,19095,10920.54323,289.6212151,10630.92202,10630.92202,608,287,272,0.582,18,0.066176471,44,0.161764706,210,0.772058824,271,59,99,113,0.217712177,26,20,1,3,0,2,20,1,3,0,2,0,0,0,13,12,1,0.5,0.026996718,0.057191653,0.002445696,0.001881304,9.40652E-05,0.000282196,0,0.00018813,0.001881304,9.40652E-05,0.000282196,0,0.00018813,0,0,0,0.029442413,0,0.095588235,0.55803814,0.480667891,0.55803814,0.372025427,0.225930143,0.282756243,0.307514841,0.010127271,0.082018927,0.175084175,10.42307692,8.08369E-05,1.665449201,0.403479625,0.883720308,0.378249267,1.124147085,0.481613917,0.662219137,0.301008698,0.481613917,0.06020174,-99999,0,0,-99999,-99999,-99999,4943,5661,-99999,-99999,0.020385691,0.482338017,0.02324951,0.609955824,-99999,-99999,-99999,-99999,3,5,1,1,2,44108.944,44194830.61
100111,2.1108E+11,2.1108E+11,21,107,970300,2,,,31580,"Madisonville, KY",45664,17174,19095,3882.028226,360.1892686,3521.838958,3521.838958,2479,1105,984,0.593,0,0,210,0.213414634,774,0.786585366,666,144,267,255,0.216216216,1728,11,4,1101,512,100,11,4,1101,139,100,344,29,0,249,467,1012,0.144097222,0.313756538,0.703893628,0.490652759,0.003123368,0.00113577,0.312620768,0.145378595,0.028394257,0.003123368,0.00113577,0.312620768,0.039468017,0.028394257,0.097676244,0.008234334,0,0.804409297,0,1.756097561,0.533571122,0.533571122,0.560653967,0.524651558,0.670959503,0.669812439,0.636807931,0.593537675,0.821487996,0.556390977,0.385416667,0.540866209,4.619334613,0.148517547,1.372238565,3.098578501,8.666018057,1.272062708,3.634464879,0.363446488,7.995822733,0.545169732,-99999,0,0,-99999,-99999,-99999,5268,4207,-99999,-99999,0.021726041,0.514051522,0.017277988,0.453291671,-99999,-99999,-99999,-99999,15,9,5,1,6,17827.56574,15710355.99
100112,2.1111E+11,2.1111E+11,21,111,12409,2,350,"Louisville/Jefferson County--Elizabethtown--Bardstown, KY-IN",31140,"Louisville/Jefferson County, KY-IN",1252890,646247,607669,315.0791868,1.3741231,313.7050637,313.7050637,1204,556,458,0.55,39,0.085152838,164,0.358078603,255,0.556768559,662,140,245,277,0.211480363,164,15,6,0,35,108,15,6,0,24,108,0,11,0,74,59,31,0.451219512,1.772365398,3.83799989,0.522784038,0.047815613,0.019126245,0,0.111569764,0.344272415,0.047815613,0.019126245,0,0.076504981,0.344272415,0,0.035064783,0,2.295149436,0,0.358078603,0.681319021,0.586856262,0.669399253,0.518098977,0.513154716,0.594522377,0.661871508,0.842844735,0.239766082,0.397094431,4.036585366,0.047998507,9.63387416,0,1.001845675,8.632028485,29.25142454,0,10.20066416,2.040132832,18.36119549,8.160531328,1003.16,0,0,6,12.24079699,0.004983389,54602,53068,18601,10906,0.000838547,0.397290375,0.001012157,0.541272707,0.000456744,0.069396877,0.000480899,0.064180501,10,9,7,13,9.833333333,6174.341367,1275109.299
