KMeans_Cluster_3,CBG_Count,Bike_Station_Count,TotPop,CountHU,HH,P_WrkAge,AutoOwn0,AutoOwn1,AutoOwn2p,Workers,R_LowWageWk,R_MedWageWk,R_HiWageWk,TotEmp,D1A,D1B,D1C,D2A_JPHH,D2A_WRKEMP,D3A,D3B
1,167,11,745.4850299401197,395.62874251497004,328.7305389221557,0.6390419161676647,53.449101796407184,136.25149700598803,139.02994011976048,360.63473053892216,95.03592814371258,122.90419161676647,142.69461077844312,575.8083832335329,3.9159702774011973,7.174494635383233,3.62781477294012,6.292860250778444,9.391109966676646,19.763053162227543,100.78536769688623
2,104,16,1557.4807692307693,771.4134615384615,695.4615384615385,0.6409615384615385,101.02884615384616,280.6057692307692,313.8269230769231,730.8942307692307,178.14423076923077,226.72115384615384,326.02884615384613,1008.0288461538462,4.479684129076923,8.693814305759615,4.197084258605769,1.2932017934615385,6.8251937040769235,17.032865417240384,78.42776497730769
3,74,41,1002.5945945945946,537.7837837837837,437.4189189189189,0.6661756756756756,131.44594594594594,179.2027027027027,126.77027027027027,417.81081081081084,119.12162162162163,147.06756756756758,151.6216216216216,1064.2162162162163,10.075292948716216,18.100157264324324,16.98972819635135,3.3929748951081082,9.640437281351351,35.102716211621626,289.0466414428378
